"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4232","Keyboard Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.UIComponentsTests","UI Components Tests","com.example.tests.UIComponentsTests","keyboardTest"
"","222","Show Password Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.UIComponentsTests","UI Components Tests","com.example.tests.UIComponentsTests","showPasswordTest"
"","2613","Valid Auth Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.AuthTests","Auth Tests","com.example.tests.AuthTests","validAuthTest"
"","1452","Invalid Auth Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.AuthTests","Auth Tests","com.example.tests.AuthTests","invalidAuthTest"
"","1085","Invalid Forgot Password Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.ForgotPasswordTests","Forgot Password Tests","com.example.tests.ForgotPasswordTests","invalidForgotPasswordTest"
"","1304","Valid Forgot Password Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.ForgotPasswordTests","Forgot Password Tests","com.example.tests.ForgotPasswordTests","validForgotPasswordTest"
"","1194","Invalid Auth Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.AuthTests","Auth Tests","com.example.tests.AuthTests","invalidAuthTest"
"","5428","Invalid Forgot Password Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.ForgotPasswordTests","Forgot Password Tests","com.example.tests.ForgotPasswordTests","invalidForgotPasswordTest"
"","2223","Links Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.ForgotPasswordTests","Forgot Password Tests","com.example.tests.ForgotPasswordTests","linksTest"
"","8093","Cookies Test","Auth Form Autotests","2026-08-18","passed","2026-08-18","com.example.tests.CookiesTests","Cookies Tests","com.example.tests.CookiesTests","cookiesTest"
